"condition","Iteration","InSampleError","Error","Model"
0,14,0.346661509918059,0.318179093760559,"Homothetic Exponential"
0,15,0.326848883943594,0.336841693003888,"Homothetic Exponential"
0,16,0.329681904175438,0.332606884264058,"Homothetic Exponential"
0,17,0.328756413315404,0.336671215332767,"Homothetic Exponential"
0,18,0.322458810063594,0.344351757474079,"Homothetic Exponential"
0,19,0.330892016772623,0.329233384188333,"Homothetic Exponential"
0,20,0.332574703716473,0.320553959612483,"Homothetic Exponential"
0,21,0.337464746233552,0.329268621653182,"Homothetic Exponential"
0,22,0.334609556171386,0.323494512569592,"Homothetic Exponential"
0,23,0.337576308240873,0.320628811305777,"Homothetic Exponential"
0,24,0.329203191958901,0.330355822549263,"Homothetic Exponential"
0,25,0.32075215064553,0.347898193866352,"Homothetic Exponential"
0,26,0.337069454296458,0.328282778149345,"Homothetic Exponential"
0,27,0.323455256708556,0.331917868816827,"Homothetic Exponential"
0,28,0.319861578121059,0.338556843420608,"Homothetic Exponential"
0,29,0.347615714222294,0.32154121712552,"Homothetic Exponential"
0,30,0.322523521416949,0.341222412574878,"Homothetic Exponential"
0,31,0.333572897148899,0.334293923363432,"Homothetic Exponential"
0,32,0.345421855792777,0.315118470879437,"Homothetic Exponential"
0,33,0.331627371665562,0.336185824719803,"Homothetic Exponential"
0,34,0.318104217836284,0.339288329154547,"Homothetic Exponential"
0,35,0.329734406713319,0.33871701623343,"Homothetic Exponential"
0,36,0.337672399099041,0.316870691732303,"Homothetic Exponential"
0,37,0.3300840084438,0.334929445993131,"Homothetic Exponential"
0,38,0.331517403528978,0.335956022855926,"Homothetic Exponential"
0,39,0.331116278938275,0.32721718524473,"Homothetic Exponential"
0,40,0.331827952071157,0.326502855558571,"Homothetic Exponential"
0,41,0.328687190167813,0.329573974395432,"Homothetic Exponential"
0,42,0.323326000699279,0.340679295169273,"Homothetic Exponential"
0,43,0.321403007013181,0.332769215734396,"Homothetic Exponential"
0,44,0.33710098783438,0.328593402912331,"Homothetic Exponential"
0,45,0.326724792204211,0.33102489030605,"Homothetic Exponential"
0,46,0.325983128316767,0.325682219339273,"Homothetic Exponential"
0,47,0.331521229816386,0.334461978457419,"Homothetic Exponential"
0,48,0.334553268777421,0.323459209989084,"Homothetic Exponential"
0,49,0.344758880719087,0.317382857709393,"Homothetic Exponential"
0,50,0.335463034363079,0.322379417644462,"Homothetic Exponential"
0,51,0.318001213343719,0.339874826021216,"Homothetic Exponential"
0,52,0.329296103872128,0.335507226586747,"Homothetic Exponential"
0,53,0.326237872731271,0.3399382175503,"Homothetic Exponential"
0,54,0.327298915699822,0.341103269317707,"Homothetic Exponential"
0,55,0.331438202205968,0.317930331069074,"Homothetic Exponential"
0,56,0.338659999742698,0.31466042104226,"Homothetic Exponential"
0,57,0.321796763278111,0.341194955160974,"Homothetic Exponential"
0,58,0.354245489374025,0.311286792947973,"Homothetic Exponential"
0,59,0.331637369172941,0.325125005690859,"Homothetic Exponential"
0,60,0.325944707233201,0.328766378304833,"Homothetic Exponential"
0,61,0.325001675808302,0.333384207475188,"Homothetic Exponential"
0,62,0.321603635563579,0.331710508565898,"Homothetic Exponential"
0,63,0.330285795263966,0.314967727450038,"Homothetic Exponential"
0,64,0.327089151392859,0.346961999573454,"Homothetic Exponential"
0,65,0.322177101276514,0.345115468298846,"Homothetic Exponential"
0,66,0.343057272747327,0.326211169147438,"Homothetic Exponential"
0,67,0.339590829076856,0.32484353661153,"Homothetic Exponential"
0,68,0.314617731140061,0.357780848979799,"Homothetic Exponential"
0,69,0.322028528970104,0.333836046652114,"Homothetic Exponential"
0,70,0.33056471609715,0.328895709266768,"Homothetic Exponential"
0,71,0.315771121944552,0.346563717175813,"Homothetic Exponential"
0,72,0.320220720912373,0.336653303153458,"Homothetic Exponential"
0,73,0.330549731212651,0.324216161395284,"Homothetic Exponential"
0,74,0.338169719473766,0.32624542329075,"Homothetic Exponential"
0,75,0.308990658655631,0.353676519204307,"Homothetic Exponential"
0,76,0.337682323762916,0.31837959106127,"Homothetic Exponential"
0,77,0.34752183232221,0.318566259691552,"Homothetic Exponential"
0,78,0.337114432389259,0.312402348873394,"Homothetic Exponential"
0,79,0.347129666602405,0.308343000591167,"Homothetic Exponential"
0,80,0.339203284641582,0.32141931520697,"Homothetic Exponential"
